Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-7.78765788019078E-08,-0.798404596112866,2.73596900318427E-08,0,0,0,169.172034662621,18.3809100876501,-1.14886030535534E-08,-5.18411309427354E-08,12.6193414090349,1.73621540346095E-13,15.9012023067638,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/base_link.STL,,Base(A)-1,Coordinate System_0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.668285099732328,2.13919973668375E-06,1.7247455842592E-06,0,0,0,83.2621534826913,3.19749694522209,-1.43900581449717E-05,2.0408324781187E-05,40.3375478197587,1.01468787613245E-06,37.6736024871256,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_1.STL,,R_Link1-1,Coordinate System_1,Axis_Joint_1,Joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link_2,-2.4644042362354E-08,-0.227711601071304,-0.110912902303958,0,0,0,82.5511959773555,7.47652807112356,1.64923847158077E-07,2.30692055472815E-07,4.37082414900038,-1.6598766192207,4.24373360249946,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_2.STL,0,1,1,1,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_2.STL,,R_Link2_A-1,Coordinate System_2,Axis_Joint_2,Joint_2,revolute,1.748,0,0,0,0,0,Link_1,0,0,1,0,0,0,0,,,,,,,,
Link_3,5.3291E-15,-0.29323,-0.27683,0,0,0,105.99,20.776,-5.0548E-17,-4.2274E-16,15.245,-5.7457,6.7552,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_3.STL,,R_Link2_B-1,Coordinate System_3,Link_2,Joint_3,prismatic,0,-0.736,0,1.5708,0,0,Link_2,0,0,1,0,0,0,0,,,,,,,,
Link_4,1.31563911320853E-07,4.68362708026923E-08,-0.370522719627189,0,0,0,25.83315670781,1.08439471744359,3.90704540672704E-09,1.29746062722194E-09,0.884018799713197,-6.64812247521654E-16,0.409500683411435,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_4.STL,0,1,1,1,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_4.STL,,R_Link3-2,Coordinate System_4,Link_2,Joint_4,revolute,0,0,0.85,0,0,0,Link_3,0,0,1,0,0,0,0,,,,,,,,
Link_5,9.19803655463625E-09,-0.0480593792932087,4.41046522147184E-08,0,0,0,13.7025991528413,0.181095196113316,-8.29868126675827E-09,5.46380079101965E-08,0.104402846929699,3.3774537277071E-08,0.161003056608747,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_5.STL,1,1,1,1,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_5.STL,,R_Link4-3,Coordinate System_5,Joint_4,Joint_5,revolute,0,0,0,-1.5708,0,0,Link_4,0,0,1,0,0,0,0,,,,,,,,
Link_6,-1.25453984978208E-08,5.46832352106719E-08,0.374212039802994,0,0,0,5.63944700985923,0.076646665038387,2.24850116031797E-08,1.76192034341756E-19,0.125338424212702,5.09421892622063E-09,0.0638680810408517,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_6.STL,0,1,1,1,0,0,0,0,0,0,package://Redundant.SLDASM/meshes/Link_6.STL,,R_LinkTCP-1,Coordinate System_6,Link_2,Joint_6,revolute,0,0,0,1.5708,0,0,Link_5,0,0,1,0,0,0,0,,,,,,,,
